Шарик;Diversey;Diversey;ACSZ-7727;360;0;0;38;;;;;;;;;;;;;;;;;;;;;;38;;2
Шарик;Burchard;360;DN 8;360;0.4;0.4;0.7;0.7;;;;;;;;;;;;;;;;;;;;;0.7;1;2.5
Шарик;Burchard;360;DN 10;360;0.8;0.8;2.4;2.4;;;;;;;;;;;;;;;;;;;;;2.4;1;2.5
Шарик;Burchard;360;DN 15;360;1.5;1.5;4;4;;;;;;;;;;;;;;;;;;;;;4;1;2.5
Шарик;Burchard;360;DN 20;360;2.5;2.5;8;8;;;;13;;;;;;;;;;;;;;;;;13;1;2.5
Шарик;Burchard;360;DN 25;360;3;3;11;11;;;;17;;;;;;;;;;;;;;;;;17;1;2.5
Шарик;Burchard;360;DN 25/1;360;4;4;18;18;;;;28;;;;;;;;;;;;;;;;;28;1;2.5
Шарик;Burchard;360;DN 32;360;3.5;3.5;13;13;;;;20;;;;;;;;;;;;;;;;;20;1;2.5
Шарик;Burchard;360;DN 32/1;360;4;4;21;21;;;;34;;;;;;;;;;;;;;;;;34;1;2.5
Шарик;Burchard;360;DN 40;360;3.5;3.5;11;11;;;;19;;;;;;;;;;;;;;;;;19;1;2.5
Шарик;Burchard;360;DN 40/1;360;4;4;22;22;;;;36;;;;;;;;;;;;;;;;;36;1;2.5
Шарик;Burchard;360;DN 50;360;5;5;28;28;;;;42;;;;;;;;;;;;;;;;;42;1;2.5
Шарик;Burchard;360;DN 50/1;360;6;6;49;49;;;;69;;;;;;;;;;;;;;;;;69;1;2.5
Шарик;Burchard;270u;DN 15;270;1.5;1.5;3;3;;;;;;;;;;;;;;;;;;;;;3;1;2.5
Шарик;Burchard;270u;DN 20;270;2.5;2.5;8;8;;;;12;;;;;;;;;;;;;;;;;12;1;2.5
Шарик;Burchard;270u;DN 25;270;3;3;11;11;;;;17;;;;;;;;;;;;;;;;;17;1;2.5
Шарик;Burchard;270u;DN 25/1;270;4;4;16;16;;;;26;;;;;;;;;;;;;;;;;26;1;2.5
Шарик;Burchard;270u;DN 32;270;3.5;3.5;11;11;;;;18;;;;;;;;;;;;;;;;;18;1;2.5
Шарик;Burchard;270u;DN 32/1;270;4;4;21;21;;;;33;;;;;;;;;;;;;;;;;33;1;2.5
Шарик;Burchard;270u;DN 40;270;3.5;3.5;11;11;;;;16;;;;;;;;;;;;;;;;;16;1;2.5
Шарик;Burchard;270u;DN 40/1;270;4;4;20;20;;;;33;;;;;;;;;;;;;;;;;33;1;2.5
Шарик;Burchard;270u;DN 50;270;5;5;27;27;;;;41;;;;;;;;;;;;;;;;;41;1;2.5
Шарик;Burchard;270u;DN 50/1;270;6;6;45;45;;;;67;;;;;;;;;;;;;;;;;67;1;2.5
Шарик;Burchard;180u;DN 15;180;1.5;1.5;2;2;;;;;;;;;;;;;;;;;;;;;2;1;2.5
Шарик;Burchard;180u;DN 20;180;2.5;2.5;5;5;;;;9;;;;;;;;;;;;;;;;;9;1;2.5
Шарик;Burchard;180u;DN 25;180;3;3;9;9;;;;14;;;;;;;;;;;;;;;;;14;1;2.5
Шарик;Burchard;180u;DN 25/1;180;4;4;14;14;;;;23;;;;;;;;;;;;;;;;;23;1;2.5
Шарик;Burchard;180u;DN 32;180;3.5;3.5;10;10;;;;16;;;;;;;;;;;;;;;;;16;1;2.5
Шарик;Burchard;180u;DN 32/1;180;4;4;17;17;;;;26;;;;;;;;;;;;;;;;;26;1;2.5
Шарик;Burchard;180u;DN 40;180;3.5;3.5;10;10;;;;15;;;;;;;;;;;;;;;;;15;1;2.5
Шарик;Burchard;180u;DN 40/1;180;4;4;15;15;;;;24;;;;;;;;;;;;;;;;;24;1;2.5
Шарик;Burchard;180u;DN 50;180;5;5;20;20;;;;30;;;;;;;;;;;;;;;;;30;1;2.5
Шарик;Burchard;180u;DN 50/1;180;6;6;31;31;;;;51;;;;;;;;;;;;;;;;;51;1;2.5
Шарик;Burchard;180u;DN 50/2;180;10;10;35;35;;;;58;;;;;;;;;;;;;;;;;58;1;2.5
Шарик;Burchard;180d;DN 15;180;1.5;1.5;2;2;;;;;;;;;;;;;;;;;;;;;2;1;2.5
Шарик;Burchard;180d;DN 20;180;2.5;2.5;6;6;;;;9;;;;;;;;;;;;;;;;;9;1;2.5
Шарик;Burchard;180d;DN 25;180;3;3;7;7;;;;11;;;;;;;;;;;;;;;;;11;1;2.5
Шарик;Burchard;180d;DN 25/1;180;4;4;12;12;;;;19;;;;;;;;;;;;;;;;;19;1;2.5
Шарик;Burchard;180d;DN 32;180;3.5;3.5;8;8;;;;13;;;;;;;;;;;;;;;;;13;1;2.5
Шарик;Burchard;180d;DN 32/1;180;4;4;14;14;;;;23;;;;;;;;;;;;;;;;;23;1;2.5
Шарик;Burchard;180d;DN 40;180;3.5;3.5;11;11;;;;16;;;;;;;;;;;;;;;;;16;1;2.5
Шарик;Burchard;180d;DN 40/1;180;4;4;14;14;;;;23;;;;;;;;;;;;;;;;;23;1;2.5
Шарик;Burchard;180d;DN 50;180;5;5;17;17;;;;27;;;;;;;;;;;;;;;;;27;1;2.5
Шарик;Burchard;180d;DN 50/1;180;6;6;30;30;;;;49;;;;;;;;;;;;;;;;;49;1;2.5
Шарик;Butterwoth ;UAA;UAA 1228 B31ZN;360;1;2;1.8;1.8;2.3;;2.7;;;;;;;;;;;;;;;;;;2.7;1;7
Шарик;Butterwoth ;UAA;UAA 2050 B31ZN;360;1;2.6;5.4;5.4;6.5;;7.7;;;;;;;;;;;;;;;;;;7.7;1;7
Шарик;Butterwoth ;UAA;UAA 2465 B31ZN;360;1;3.3;13.1;13.1;16.2;;18.5;;;;;;;;;;;;;;;;;;18.5;1;7
Шарик;Butterwoth ;UAA;UAA 3990 B31ZN;360;1;3.5;29.8;29.8;36.3;;42.0;;;;;;;;;;;;;;;;;;42.0;1;7
